"id";"category";"subcategory";"count";"WardrobeId"
1;"tops";"Fitted Tees";0;5
2;"tops";"Loose-Fitted T-shirts";0;5
3;"tops";"Long-Sleeve Tees";0;5
4;"tops";"Yoga Pants";0;5
5;"tops";"Other Athleisure";0;5
6;"tops";"Sweatshirts";0;5
7;"tops";"Sweatpants";0;5
8;"tops";"Tank Tops";0;5
9;"tops";"Button-Downs";0;5
10;"tops";"Sweaters";0;5
11;"tops";"Cardigans";0;5
12;"tops";"Polo";0;5
13;"tops";"Blouses";0;5
14;"tops";"Tunic-Length";0;5
15;"tops";"Jackets";0;5
16;"bottoms";"Denim Jeans";0;5
17;"bottoms";"Alternative Jeans";0;5
18;"bottoms";"Khakis";0;5
19;"bottoms";"Trousers";0;5
20;"bottoms";"Slacks";0;5
21;"bottoms";"Skirts";0;5
22;"bottoms";"Dresses";0;5
23;"bottoms";"Camisoles";0;5
24;"bottoms";"Short-Shorts";0;5
25;"bottoms";"Bermuda-Shorts";0;5
26;"shoes";"Sneakers";0;5
27;"shoes";"Sandals";0;5
28;"shoes";"Boots";0;5
29;"shoes";"Dress-Shoes";0;5
30;"shoes";"Casual Loafer";0;5
31;"shoes";"Formal Sandals";0;5
32;"shoes";"Heels";0;5
33;"shoes";"Flats";0;5
34;"tops";"Fitted Tees";0;6
35;"tops";"Loose-Fitted T-shirts";0;6
36;"tops";"Long-Sleeve Tees";0;6
37;"tops";"Yoga Pants";0;6
38;"tops";"Other Athleisure";0;6
39;"tops";"Sweatshirts";0;6
40;"tops";"Sweatpants";0;6
41;"tops";"Tank Tops";0;6
42;"tops";"Button-Downs";0;6
43;"tops";"Sweaters";0;6
44;"tops";"Cardigans";0;6
45;"tops";"Polo";0;6
46;"tops";"Blouses";0;6
47;"tops";"Tunic-Length";0;6
48;"tops";"Jackets";0;6
49;"bottoms";"Denim Jeans";0;6
50;"bottoms";"Alternative Jeans";0;6
51;"bottoms";"Khakis";0;6
52;"bottoms";"Trousers";0;6
53;"bottoms";"Slacks";0;6
54;"bottoms";"Skirts";0;6
55;"bottoms";"Dresses";0;6
56;"bottoms";"Camisoles";0;6
57;"bottoms";"Short-Shorts";0;6
58;"bottoms";"Bermuda-Shorts";0;6
59;"shoes";"Sneakers";0;6
60;"shoes";"Sandals";0;6
61;"shoes";"Boots";0;6
62;"shoes";"Dress-Shoes";0;6
63;"shoes";"Casual Loafer";0;6
64;"shoes";"Formal Sandals";0;6
65;"shoes";"Heels";0;6
66;"shoes";"Flats";0;6
67;"tops";"Fitted Tees";0;7
68;"tops";"Loose-Fitted T-shirts";0;7
69;"tops";"Long-Sleeve Tees";0;7
70;"tops";"Yoga Pants";0;7
71;"tops";"Other Athleisure";0;7
72;"tops";"Sweatshirts";0;7
73;"tops";"Sweatpants";0;7
74;"tops";"Tank Tops";0;7
75;"tops";"Button-Downs";0;7
76;"tops";"Sweaters";0;7
77;"tops";"Cardigans";0;7
78;"tops";"Polo";0;7
79;"tops";"Blouses";0;7
80;"tops";"Tunic-Length";0;7
81;"tops";"Jackets";0;7
82;"bottoms";"Denim Jeans";0;7
83;"bottoms";"Alternative Jeans";0;7
84;"bottoms";"Khakis";0;7
85;"bottoms";"Trousers";0;7
86;"bottoms";"Slacks";0;7
87;"bottoms";"Skirts";0;7
88;"bottoms";"Dresses";0;7
89;"bottoms";"Camisoles";0;7
90;"bottoms";"Short-Shorts";0;7
91;"bottoms";"Bermuda-Shorts";0;7
92;"shoes";"Sneakers";0;7
93;"shoes";"Sandals";0;7
94;"shoes";"Boots";0;7
95;"shoes";"Dress-Shoes";0;7
96;"shoes";"Casual Loafer";0;7
97;"shoes";"Formal Sandals";0;7
98;"shoes";"Heels";0;7
99;"shoes";"Flats";0;7
100;"tops";"Fitted Tees";0;8
101;"tops";"Loose-Fitted T-shirts";0;8
102;"tops";"Long-Sleeve Tees";0;8
103;"tops";"Yoga Pants";0;8
104;"tops";"Other Athleisure";0;8
105;"tops";"Sweatshirts";0;8
106;"tops";"Sweatpants";0;8
107;"tops";"Tank Tops";0;8
108;"tops";"Button-Downs";0;8
109;"tops";"Sweaters";0;8
110;"tops";"Cardigans";0;8
111;"tops";"Polo";0;8
112;"tops";"Blouses";0;8
113;"tops";"Tunic-Length";0;8
114;"tops";"Jackets";0;8
115;"bottoms";"Denim Jeans";0;8
116;"bottoms";"Alternative Jeans";0;8
117;"bottoms";"Khakis";0;8
118;"bottoms";"Trousers";0;8
119;"bottoms";"Slacks";0;8
120;"bottoms";"Skirts";0;8
121;"bottoms";"Dresses";0;8
122;"bottoms";"Camisoles";0;8
123;"bottoms";"Short-Shorts";0;8
124;"bottoms";"Bermuda-Shorts";0;8
125;"shoes";"Sneakers";0;8
126;"shoes";"Sandals";0;8
127;"shoes";"Boots";0;8
128;"shoes";"Dress-Shoes";0;8
129;"shoes";"Casual Loafer";0;8
130;"shoes";"Formal Sandals";0;8
131;"shoes";"Heels";0;8
132;"shoes";"Flats";0;8
133;"tops";"fitted-tees";0;9
134;"tops";"loose-tees";0;9
135;"tops";"long-sleeves";0;9
136;"tops";"sweatshirts";0;9
137;"tops";"athlesiure";0;9
138;"tops";"tanks";0;9
139;"tops";"button-downs";0;9
140;"tops";"sweaters";0;9
141;"tops";"cardigans";0;9
142;"tops";"polos";0;9
143;"tops";"blouses";0;9
144;"tops";"tunics";0;9
145;"bottoms";"yoga";0;9
146;"bottoms";"sweatpants";0;9
147;"bottoms";"denim-jeans";0;9
148;"bottoms";"alt-jeans";0;9
149;"bottoms";"khakis";0;9
150;"bottoms";"trousers";0;9
151;"bottoms";"slacks";0;9
152;"bottoms";"skirts";0;9
153;"bottoms";"dresses";0;9
154;"bottoms";"bermudas";0;9
155;"bottoms";"short-shorts";0;9
156;"shoes";"sneakers";0;9
157;"shoes";"sandals";0;9
158;"shoes";"formal-sandals";0;9
159;"shoes";"dress-shoes";0;9
160;"shoes";"loafers";0;9
161;"shoes";"flats";0;9
162;"shoes";"heels";0;9
163;"shoes";"boots";0;9
164;"shoes";"ties";0;9
165;"tops";"fitted-tees";0;10
166;"tops";"loose-tees";0;10
167;"tops";"long-sleeves";0;10
168;"tops";"sweatshirts";0;10
169;"tops";"athlesiure";0;10
170;"tops";"tanks";0;10
171;"tops";"button-downs";0;10
172;"tops";"sweaters";0;10
173;"tops";"cardigans";0;10
174;"tops";"polos";0;10
175;"tops";"blouses";0;10
176;"tops";"tunics";0;10
177;"bottoms";"yoga";0;10
178;"bottoms";"sweatpants";0;10
179;"bottoms";"denim-jeans";0;10
180;"bottoms";"alt-jeans";0;10
181;"bottoms";"khakis";0;10
182;"bottoms";"trousers";0;10
183;"bottoms";"slacks";0;10
184;"bottoms";"skirts";0;10
185;"bottoms";"dresses";0;10
186;"bottoms";"bermudas";0;10
187;"bottoms";"short-shorts";0;10
188;"shoes";"sneakers";0;10
189;"shoes";"sandals";0;10
190;"shoes";"formal-sandals";0;10
191;"shoes";"dress-shoes";0;10
192;"shoes";"loafers";0;10
193;"shoes";"flats";0;10
194;"shoes";"heels";0;10
195;"shoes";"boots";0;10
196;"shoes";"ties";0;10
197;"tops";"fitted-tees";0;11
198;"tops";"loose-tees";0;11
199;"tops";"long-sleeves";0;11
200;"tops";"sweatshirts";0;11
201;"tops";"athlesiure";0;11
202;"tops";"tanks";0;11
203;"tops";"button-downs";0;11
204;"tops";"sweaters";0;11
205;"tops";"cardigans";0;11
206;"tops";"polos";0;11
207;"tops";"blouses";0;11
208;"tops";"tunics";0;11
209;"bottoms";"yoga";0;11
210;"bottoms";"sweatpants";0;11
211;"bottoms";"denim-jeans";0;11
212;"bottoms";"alt-jeans";0;11
213;"bottoms";"khakis";0;11
214;"bottoms";"trousers";0;11
215;"bottoms";"slacks";0;11
216;"bottoms";"skirts";0;11
217;"bottoms";"dresses";0;11
218;"bottoms";"bermudas";0;11
219;"bottoms";"short-shorts";0;11
220;"shoes";"sneakers";0;11
221;"shoes";"sandals";0;11
222;"shoes";"formal-sandals";0;11
223;"shoes";"dress-shoes";0;11
224;"shoes";"loafers";0;11
225;"shoes";"flats";0;11
226;"shoes";"heels";0;11
227;"shoes";"boots";0;11
228;"shoes";"ties";0;11
229;"tops";"fitted-tees";1;12
230;"tops";"loose-tees";2;12
231;"tops";"long-sleeves";3;12
232;"tops";"sweatshirts";4;12
233;"tops";"athlesiure";5;12
234;"tops";"tanks";6;12
235;"tops";"button-downs";7;12
236;"tops";"sweaters";8;12
237;"tops";"cardigans";9;12
238;"tops";"polos";6;12
239;"tops";"blouses";10;12
240;"tops";"tunics";12;12
241;"bottoms";"yoga";0;12
242;"bottoms";"sweatpants";0;12
243;"bottoms";"denim-jeans";0;12
244;"bottoms";"alt-jeans";0;12
245;"bottoms";"khakis";0;12
246;"bottoms";"trousers";0;12
247;"bottoms";"slacks";0;12
248;"bottoms";"skirts";0;12
249;"bottoms";"dresses";0;12
250;"bottoms";"bermudas";0;12
251;"bottoms";"short-shorts";0;12
252;"shoes";"sneakers";0;12
253;"shoes";"sandals";0;12
254;"shoes";"formal-sandals";0;12
255;"shoes";"dress-shoes";0;12
256;"shoes";"loafers";0;12
257;"shoes";"flats";0;12
258;"shoes";"heels";0;12
259;"shoes";"boots";0;12
260;"shoes";"ties";0;12
261;"tops";"fitted-tees";0;13
262;"tops";"loose-tees";0;13
263;"tops";"long-sleeves";0;13
264;"tops";"sweatshirts";0;13
265;"tops";"athlesiure";0;13
266;"tops";"tanks";0;13
267;"tops";"button-downs";0;13
268;"tops";"sweaters";0;13
269;"tops";"cardigans";0;13
270;"tops";"polos";0;13
271;"tops";"blouses";0;13
272;"tops";"tunics";0;13
273;"bottoms";"yoga";0;13
274;"bottoms";"sweatpants";0;13
275;"bottoms";"denim-jeans";0;13
276;"bottoms";"alt-jeans";0;13
277;"bottoms";"khakis";0;13
278;"bottoms";"trousers";0;13
279;"bottoms";"slacks";0;13
280;"bottoms";"skirts";0;13
281;"bottoms";"dresses";0;13
282;"bottoms";"bermudas";0;13
283;"bottoms";"short-shorts";0;13
284;"shoes";"sneakers";0;13
285;"shoes";"sandals";0;13
286;"shoes";"formal-sandals";0;13
287;"shoes";"dress-shoes";0;13
288;"shoes";"loafers";0;13
289;"shoes";"flats";0;13
290;"shoes";"heels";0;13
291;"shoes";"boots";0;13
292;"shoes";"ties";0;13
293;"tops";"fitted-tees";0;14
294;"tops";"loose-tees";0;14
295;"tops";"long-sleeves";0;14
296;"tops";"sweatshirts";0;14
297;"tops";"athlesiure";0;14
298;"tops";"tanks";0;14
299;"tops";"button-downs";0;14
300;"tops";"sweaters";0;14
301;"tops";"cardigans";0;14
302;"tops";"polos";0;14
303;"tops";"blouses";0;14
304;"tops";"tunics";0;14
305;"bottoms";"yoga";0;14
306;"bottoms";"sweatpants";0;14
307;"bottoms";"denim-jeans";0;14
308;"bottoms";"alt-jeans";0;14
309;"bottoms";"khakis";0;14
310;"bottoms";"trousers";0;14
311;"bottoms";"slacks";0;14
312;"bottoms";"skirts";0;14
313;"bottoms";"dresses";0;14
314;"bottoms";"bermudas";0;14
315;"bottoms";"short-shorts";0;14
316;"shoes";"sneakers";0;14
317;"shoes";"sandals";0;14
318;"shoes";"formal-sandals";0;14
319;"shoes";"dress-shoes";0;14
320;"shoes";"loafers";0;14
321;"shoes";"flats";0;14
322;"shoes";"heels";0;14
323;"shoes";"boots";0;14
324;"shoes";"ties";0;14
325;"tops";"fitted-tees";0;15
326;"tops";"loose-tees";0;15
327;"tops";"long-sleeves";0;15
328;"tops";"sweatshirts";0;15
329;"tops";"athlesiure";0;15
330;"tops";"tanks";0;15
331;"tops";"button-downs";0;15
332;"tops";"sweaters";0;15
333;"tops";"cardigans";0;15
334;"tops";"polos";0;15
335;"tops";"blouses";0;15
336;"tops";"tunics";0;15
337;"bottoms";"yoga";0;15
338;"bottoms";"sweatpants";0;15
339;"bottoms";"denim-jeans";0;15
340;"bottoms";"alt-jeans";0;15
341;"bottoms";"khakis";0;15
342;"bottoms";"trousers";0;15
343;"bottoms";"slacks";0;15
344;"bottoms";"skirts";0;15
345;"bottoms";"dresses";0;15
346;"bottoms";"bermudas";0;15
347;"bottoms";"short-shorts";0;15
348;"shoes";"sneakers";0;15
349;"shoes";"sandals";0;15
350;"shoes";"formal-sandals";0;15
351;"shoes";"dress-shoes";0;15
352;"shoes";"loafers";0;15
353;"shoes";"flats";0;15
354;"shoes";"heels";0;15
355;"shoes";"boots";0;15
356;"shoes";"ties";0;15
357;"tops";"fitted-tees";0;16
358;"tops";"loose-tees";0;16
359;"tops";"long-sleeves";0;16
360;"tops";"sweatshirts";0;16
361;"tops";"athlesiure";0;16
362;"tops";"tanks";0;16
363;"tops";"button-downs";0;16
364;"tops";"sweaters";0;16
365;"tops";"cardigans";0;16
366;"tops";"polos";0;16
367;"tops";"blouses";0;16
368;"tops";"tunics";0;16
369;"bottoms";"yoga";0;16
370;"bottoms";"sweatpants";0;16
371;"bottoms";"denim-jeans";0;16
372;"bottoms";"alt-jeans";0;16
373;"bottoms";"khakis";0;16
374;"bottoms";"trousers";0;16
375;"bottoms";"slacks";0;16
376;"bottoms";"skirts";0;16
377;"bottoms";"dresses";0;16
378;"bottoms";"bermudas";0;16
379;"bottoms";"short-shorts";0;16
380;"shoes";"sneakers";0;16
381;"shoes";"sandals";0;16
382;"shoes";"formal-sandals";0;16
383;"shoes";"dress-shoes";0;16
384;"shoes";"loafers";0;16
385;"shoes";"flats";0;16
386;"shoes";"heels";0;16
387;"shoes";"boots";0;16
388;"shoes";"ties";0;16
389;"tops";"fitted-tees";9;17
390;"tops";"loose-tees";5;17
391;"tops";"long-sleeves";15;17
392;"tops";"sweatshirts";0;17
393;"tops";"athlesiure";0;17
394;"tops";"tanks";0;17
395;"tops";"button-downs";0;17
396;"tops";"sweaters";0;17
397;"tops";"cardigans";0;17
398;"tops";"polos";0;17
399;"tops";"blouses";0;17
400;"tops";"tunics";0;17
401;"bottoms";"yoga";0;17
402;"bottoms";"sweatpants";0;17
403;"bottoms";"denim-jeans";0;17
404;"bottoms";"alt-jeans";0;17
405;"bottoms";"khakis";0;17
406;"bottoms";"trousers";0;17
407;"bottoms";"slacks";0;17
408;"bottoms";"skirts";0;17
409;"bottoms";"dresses";0;17
410;"bottoms";"bermudas";0;17
411;"bottoms";"short-shorts";0;17
412;"shoes";"sneakers";0;17
413;"shoes";"sandals";0;17
414;"shoes";"formal-sandals";0;17
415;"shoes";"dress-shoes";0;17
416;"shoes";"loafers";0;17
417;"shoes";"flats";0;17
418;"shoes";"heels";0;17
419;"shoes";"boots";0;17
420;"shoes";"ties";0;17
421;"tops";"fitted-tees";0;18
422;"tops";"loose-tees";0;18
423;"tops";"long-sleeves";0;18
424;"tops";"sweatshirts";0;18
425;"tops";"athlesiure";0;18
426;"tops";"tanks";0;18
427;"tops";"button-downs";0;18
428;"tops";"sweaters";0;18
429;"tops";"cardigans";0;18
430;"tops";"polos";0;18
431;"tops";"blouses";0;18
432;"tops";"tunics";0;18
433;"bottoms";"yoga";0;18
434;"bottoms";"sweatpants";0;18
435;"bottoms";"denim-jeans";0;18
436;"bottoms";"alt-jeans";0;18
437;"bottoms";"khakis";0;18
438;"bottoms";"trousers";0;18
439;"bottoms";"slacks";0;18
440;"bottoms";"skirts";0;18
441;"bottoms";"dresses";0;18
442;"bottoms";"bermudas";0;18
443;"bottoms";"short-shorts";0;18
444;"shoes";"sneakers";0;18
445;"shoes";"sandals";0;18
446;"shoes";"formal-sandals";0;18
447;"shoes";"dress-shoes";0;18
448;"shoes";"loafers";0;18
449;"shoes";"flats";0;18
450;"shoes";"heels";0;18
451;"shoes";"boots";0;18
452;"shoes";"ties";0;18
